-1,0,0,0,0
-0.875,0,0,0,0
-0.75,0.1397,0.0101,0.1397,0.0101
-0.625,0,0,0.1397,0.0101
-0.5,0,0,0.1397,0.0101
-0.375,0.2,0.0145,0.3397,0.0247
-0.25,0,0,0.3397,0.0247
-0.125,0,0,0.3397,0.0247
0,0,0,0.3397,0.0247
0.125,0,0,0.3397,0.0247
0.25,0.7692,0.0559,1.1089,0.0805
0.375,13.6122,0.9885,14.7211,1.069
0.5,26.8772,1.9518,41.5983,3.0208
0.625,39.8888,2.8967,81.4871,5.9176
0.75,45.3478,3.2931,126.8348,9.2107
0.875,84.0152,6.1011,210.85,15.3118
1,110.7451,8.0423,321.5951,23.3541
1.125,153.2802,11.1311,474.8753,34.4852
1.25,212.3837,15.4232,687.259,49.9085
1.375,225.2632,16.3585,912.5222,66.267
1.5,163.3885,11.8652,1075.91,78.1322
1.625,110.4465,8.0206,1186.357,86.1528
1.75,71.1054,5.1636,1257.462,91.3164
1.875,45.1658,3.2799,1302.628,94.5963
2,27.8127,2.0197,1330.441,96.6161
2.125,16.8235,1.2217,1347.264,97.8378
2.25,10.3745,0.7534,1357.639,98.5912
2.375,5.2317,0.3799,1362.87,98.9711
2.5,2.5683,0.1865,1365.439,99.1576
2.625,2.5,0.1815,1367.939,99.3392
2.75,1.3215,0.096,1369.26,99.4351
2.875,0.7212,0.0524,1369.981,99.4875
3,1.7573,0.1276,1371.739,99.6151
3.125,0.9,0.0654,1372.639,99.6805
3.25,1,0.0726,1373.639,99.7531
3.375,0.2566,0.0186,1373.895,99.7717
3.5,1.2434,0.0903,1375.139,99.862
3.625,0.8817,0.064,1376.02,99.926
3.75,0.9872,0.0717,1377.007,99.9977
3.875,0.0312,0.0023,1377.039,100
4,0,0,1377.039,100
4.125,0,0,1377.039,100
4.25,0,0,1377.039,100
4.375,0,0,1377.039,100
4.5,0,0,1377.039,100
